-109.94, 21.27, -0.23
3.69, 35.25, 0.26
80.85, 116.70, -1.33
-71.50, 20.63, -0.21
145.74, 17.51, 0.21
26.15, 63.07, -0.13
12.43, 19.09, 0.09
33.72, 40.59, 0.02
17.78, 123.75, -0.59
-99.78, 25.19, 0.09
108.01, -9.15, 0.57
-26.85, 25.18, -0.12
-6.50, -17.56, -0.12
-132.60, -33.96, -0.38
177.49, 26.72, -0.57
15.36, 23.42, -0.24
2.99, -6.50, -0.43
-120.55, 44.71, -0.23
-25.13, 53.29, -0.31
14.64, 24.30, 0.05
67.87, -38.37, 0.31
92.09, -28.82, 1.26
53.20, -31.42, 1.03
-122.02, 11.73, -0.18
124.52, 15.13, 1.05
74.11, -13.00, 1.40
-86.42, 15.63, -0.43
-125.95, 1.75, -0.07
-3.03, 29.34, -0.28
-78.01, 18.28, -0.77
-59.44, 37.12, 0.07
150.36, 48.39, 1.05
-41.25, 14.10, -0.32
13.68, -12.39, -0.44
75.74, -37.18, 0.68
33.98, 74.71, 0.15
-36.43, 7.31, 0.26
-67.76, 5.18, -0.14
-23.49, 16.01, 0.07
162.66, -12.18, 1.18
100.69, -38.63, -0.06
-17.91, -0.50, -0.01
21.08, 36.99, -0.25
-75.95, 7.96, -0.09
21.78, 72.36, 0.23
-135.22, -14.85, -0.07
-14.78, 39.93, -0.40
-18.86, 12.32, -0.03
88.67, -4.70, 0.53
-22.94, 11.19, 0.17
-6.77, -34.87, -0.09
24.70, 20.87, -0.97
91.63, -76.62, 0.51
63.71, 48.33, -0.03
-29.38, 36.57, -0.13
94.08, 2.38, 0.95
-60.99, -31.55, -0.11
126.90, -22.27, 1.39
37.92, 48.60, 0.80
-72.88, -20.02, -0.43
9.10, 45.21, 0.39
-1.05, -13.37, -0.32
-152.21, 47.29, 0.05
46.00, 6.20, 0.12
92.30, -10.69, 0.64
-104.70, -43.75, -0.15
-36.31, -28.42, -0.08
-52.48, 42.04, -0.58
-0.09, -5.82, 0.18
20.09, 17.41, -0.04
23.76, -23.20, -0.09
-46.84, 50.54, 0.06
7.14, -5.50, 0.13
11.84, -14.84, 0.06
-126.70, -11.32, -0.40
5.33, 66.42, 0.28
49.84, 36.63, 0.23
141.19, 45.65, 0.35
89.85, -1.02, 0.45
1.81, 22.83, -0.19
10.08, 33.76, 0.03
-63.49, 35.21, 0.42
-54.56, -29.83, -0.65
-62.50, -6.99, 0.15
-91.70, 15.32, -0.42
31.59, 120.73, 0.09
-137.34, -64.34, -0.23
21.62, 38.78, -0.06
5.27, 54.71, -0.25
18.12, 18.78, 0.35
88.36, -37.71, 1.20
146.71, -0.70, 1.17
111.94, 27.88, 0.81
94.92, -20.22, 0.39
-37.51, -1.96, -0.14
-3.35, 10.98, -0.07
51.74, -7.52, -0.36
7.25, -0.64, -0.15
32.04, 1.03, -0.19
-106.97, 38.45, -0.05
112.75, -61.35, -0.05
-24.46, -47.98, 0.27
-24.83, 23.38, -0.61
78.55, -26.79, 0.47
-14.61, 19.51, -0.11
96.15, -67.62, 1.41
-27.09, -29.22, -0.47
-17.81, -49.90, 0.04
-18.97, 45.71, -0.14
-106.04, -27.72, -0.45
-74.62, -7.52, -0.13
-36.39, -12.81, -0.19
-53.20, 18.45, -0.05
-111.43, -10.35, -0.68
-9.26, 1.19, 0.26
-64.28, 21.79, 0.07
-3.85, 7.26, -0.01
-46.83, 122.89, 0.61
-36.11, -15.48, -0.23
-4.99, -11.71, 0.26
-39.37, -25.76, -0.03
-143.86, 7.73, -0.23
82.06, -69.07, 1.35
116.08, -125.75, 1.57
-80.54, -63.36, -0.53
-99.29, 7.16, -0.03
37.67, 84.06, -0.33
19.43, 98.25, -0.13
74.57, 58.23, 0.23
-93.19, 36.56, -0.68
-17.07, 3.80, 0.25
51.91, 61.19, 0.62
116.11, 37.23, 0.47
-3.65, 1.18, -0.00
